Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
12,ДЦР,ОДЦ,"2,4",Количество контактов в подъездах за период,0,0
12,ДЦР,ОДЦ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,ОДЦ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,ОДЦ,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,ОДЦ,"3,4",Всего ключей в подъездах за период,0,0
12,ДЦР,ОДЦ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДЦР,ОДЦ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДЦР,ОДЦ,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДЦР,КЛН,"1,1",Количество подъездов М2 (на начало),0,0
12,ДЦР,КЛН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДЦР,КЛН,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДЦР,КЛН,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДЦР,КЛН,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДЦР,КЛН,"1,4",Потенциал М2 (на начало),845,845
12,ДЦР,КЛН,"2,1",Количество подъездов за период,0,0
12,ДЦР,КЛН,"2,2",Количество квартир в подъездах за период,0,0
12,ДЦР,КЛН,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДЦР,КЛН,"2,4",Количество контактов в подъездах за период,0,0
12,ДЦР,КЛН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,КЛН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,КЛН,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,КЛН,"3,4",Всего ключей в подъездах за период,0,0
12,ДЦР,КЛН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДЦР,КЛН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДЦР,КЛН,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДЦР,КРС,"1,1",Количество подъездов М2 (на начало),88,0
12,ДЦР,КРС,"1,2",Количество квартир в подъездах М2 (на начало),3469,0
12,ДЦР,КРС,"1,3",Количество абонентов БСУД (на начало),343,0
12,ДЦР,КРС,"1,3.1",Количество соглашений БСУД (на начало),341,341
12,ДЦР,КРС,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДЦР,КРС,"1,4",Потенциал М2 (на начало),1002,1002
12,ДЦР,КРС,"2,1",Количество подъездов за период,4,0
12,ДЦР,КРС,"2,2",Количество квартир в подъездах за период,171,0
12,ДЦР,КРС,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДЦР,КРС,"2,4",Количество контактов в подъездах за период,141,0
12,ДЦР,КРС,"3,1",ПЛАТНЫХ в подъездах за период,308,0
12,ДЦР,КРС,"3,2",БЕСПЛАТНЫХ в подъездах за период,186,0
12,ДЦР,КРС,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,КРС,"3,4",Всего ключей в подъездах за период,494,0
12,ДЦР,КРС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,1,0
12,ДЦР,КРС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДЦР,КРС,"4,1",Соглашений БСУД в подъездах за период,8,0
12,ДЦР,БРН,"1,1",Количество подъездов М2 (на начало),22,0
12,ДЦР,БРН,"1,2",Количество квартир в подъездах М2 (на начало),999,0
12,ДЦР,БРН,"1,3",Количество абонентов БСУД (на начало),332,0
12,ДЦР,БРН,"1,3.1",Количество соглашений БСУД (на начало),311,311
12,ДЦР,БРН,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДЦР,БРН,"1,4",Потенциал М2 (на начало),1205,1205
12,ДЦР,БРН,"2,1",Количество подъездов за период,6,0
12,ДЦР,БРН,"2,2",Количество квартир в подъездах за период,287,0
12,ДЦР,БРН,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДЦР,БРН,"2,4",Количество контактов в подъездах за период,0,0
12,ДЦР,БРН,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,БРН,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДЦР,БРН,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДЦР,БРН,"3,4",Всего ключей в подъездах за период,0,0
12,ДЦР,БРН,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,48,0
12,ДЦР,БРН,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,36,0
12,ДЦР,БРН,"4,1",Соглашений БСУД в подъездах за период,26,0
12,ДЦР,АРХ,"1,1",Количество подъездов М2 (на начало),0,0
12,ДЦР,АРХ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДЦР,АРХ,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДЦР,АРХ,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДЦР,АРХ,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДЦР,АРХ,"1,4",Потенциал М2 (на начало),1497,1497
